number,value,datetime_start,datetime_complete,duration,params_D,params_EXOG_ON,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_m,params_p,params_q,params_trend,state
77,0.04103628195770933,2025-09-08 16:57:39.124680,2025-09-08 16:57:39.355681,0 days 00:00:00.231001,0,0,0,0,0,True,True,7,3,1,n,COMPLETE
78,1.9995295077526285,2025-09-08 16:57:39.470681,2025-09-08 16:57:40.132679,0 days 00:00:00.661998,0,0,0,0,2,True,True,7,0,1,c,COMPLETE
79,1.9953100137429394,2025-09-08 16:57:39.664682,2025-09-08 16:57:41.803681,0 days 00:00:02.138999,0,0,0,0,1,True,True,7,2,2,c,COMPLETE
80,0.041040701042565,2025-09-08 16:57:39.831680,2025-09-08 16:57:40.708681,0 days 00:00:00.877001,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
81,1.9945336304903087,2025-09-08 16:57:39.959681,2025-09-08 16:57:42.044680,0 days 00:00:02.084999,0,1,0,0,1,True,True,7,0,5,c,COMPLETE
82,0.041040701042565,2025-09-08 16:57:40.010680,2025-09-08 16:57:40.726682,0 days 00:00:00.716002,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
83,0.5689940235489086,2025-09-08 16:57:40.651680,2025-09-08 16:57:42.443680,0 days 00:00:01.792000,0,1,0,0,0,True,True,7,3,3,n,COMPLETE
84,0.04040276276171314,2025-09-08 16:57:40.755679,2025-09-08 16:57:40.938681,0 days 00:00:00.183002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
85,1.9952993987161607,2025-09-08 16:57:40.960683,2025-09-08 16:57:41.462679,0 days 00:00:00.501996,0,0,0,0,1,True,True,7,2,1,c,COMPLETE
86,0.04040276276171314,2025-09-08 16:57:41.408682,2025-09-08 16:57:41.547681,0 days 00:00:00.138999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
87,0.04040276276171314,2025-09-08 16:57:41.533680,2025-09-08 16:57:41.812680,0 days 00:00:00.279000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
88,0.04040276276171314,2025-09-08 16:57:41.537680,2025-09-08 16:57:41.810682,0 days 00:00:00.273002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
89,0.5492733599791837,2025-09-08 16:57:41.550681,2025-09-08 16:57:44.016682,0 days 00:00:02.466001,0,1,0,0,0,True,True,7,1,3,c,COMPLETE
90,0.04040276276171314,2025-09-08 16:57:41.671681,2025-09-08 16:57:41.854683,0 days 00:00:00.183002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
91,0.04040276276171314,2025-09-08 16:57:41.956680,2025-09-08 16:57:42.240680,0 days 00:00:00.284000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
92,0.04040276276171314,2025-09-08 16:57:41.978681,2025-09-08 16:57:42.117680,0 days 00:00:00.138999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
93,1.9945764553195824,2025-09-08 16:57:42.117680,2025-09-08 16:57:47.066680,0 days 00:00:04.949000,0,1,0,0,2,True,True,7,1,3,c,COMPLETE
94,0.04473066255085246,2025-09-08 16:57:42.271680,2025-09-08 16:57:43.664680,0 days 00:00:01.393000,0,0,0,0,0,True,True,7,2,3,c,COMPLETE
95,0.04533232032013432,2025-09-08 16:57:42.356681,2025-09-08 16:57:43.150680,0 days 00:00:00.793999,0,0,0,0,0,True,True,7,2,2,c,COMPLETE
96,0.0405477417270787,2025-09-08 16:57:42.492680,2025-09-08 16:57:42.612680,0 days 00:00:00.120000,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
97,0.0405477417270787,2025-09-08 16:57:42.531682,2025-09-08 16:57:42.698680,0 days 00:00:00.166998,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
98,0.04040276276171314,2025-09-08 16:57:42.639679,2025-09-08 16:57:42.815681,0 days 00:00:00.176002,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
99,1.9926240476706214,2025-09-08 16:57:42.928680,2025-09-08 16:57:46.710683,0 days 00:00:03.782003,0,1,0,0,2,True,True,7,2,3,c,COMPLETE
100,0.0404835281535303,2025-09-08 16:57:43.018681,2025-09-08 16:57:43.179679,0 days 00:00:00.160998,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
101,0.041040701042565,2025-09-08 16:57:43.201679,2025-09-08 16:57:43.345680,0 days 00:00:00.144001,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
102,0.041040701042565,2025-09-08 16:57:43.324680,2025-09-08 16:57:43.464680,0 days 00:00:00.140000,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
103,0.04040276276171314,2025-09-08 16:57:43.405681,2025-09-08 16:57:43.533680,0 days 00:00:00.127999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
104,0.04103628195770933,2025-09-08 16:57:43.475681,2025-09-08 16:57:43.584680,0 days 00:00:00.108999,0,0,0,0,0,True,True,7,3,1,n,COMPLETE
105,0.04103628195770933,2025-09-08 16:57:43.508681,2025-09-08 16:57:43.634681,0 days 00:00:00.126000,0,0,0,0,0,True,True,7,3,1,n,COMPLETE
106,0.6143179746662512,2025-09-08 16:57:43.680679,2025-09-08 16:57:43.958680,0 days 00:00:00.278001,0,1,0,0,0,True,True,7,0,0,n,COMPLETE
107,0.0404835281535303,2025-09-08 16:57:43.700679,2025-09-08 16:57:43.812680,0 days 00:00:00.112001,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
108,0.04040276276171314,2025-09-08 16:57:43.846680,2025-09-08 16:57:43.965680,0 days 00:00:00.119000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
